name,blood_group,latitude,longitude,availability,donation_count,created_at,Gender,last_donated,next_eligible,role,eligibility_status,password,contact,password
Jivin Reddy,A Positive,17.3922792,78.4602749,Active,9,2020-04-18 10:27:00,Male,2025-08-17,2025-11-15,Emergency Donor,not eligible,123456,6123456789,123
Anya Sibal,O Positive,17.3922792,78.4602749,Active,3,2020-05-02 22:09:38,Male,2025-07-28,2025-10-26,Bridge Donor,not eligible,123456,6123456790,123
Onkar Varty,O Positive,17.3922792,78.4602749,Active,,2020-04-12 00:00:00,Male,,,Bridge Donor,eligible,123456,6123456791,123
Shlok Kadakia,A Positive,17.3922792,78.4602749,Active,,2020-04-12 00:00:00,Male,,,Emergency Donor,not eligible,123456,6123456792,123
Romil Bose,A Positive,17.3922792,78.4602749,Active,3,2020-04-12 00:00:00,Male,2025-05-01,2025-07-30,Bridge Donor,eligible,123456,6123456793,123
Inaaya  Char,A Positive,17.3922792,78.4602749,Inactive,1,2020-04-12 00:00:00,Male,2020-08-14,2020-11-12,Emergency Donor,not eligible,123456,6123456794,123
Shayak Chacko,O Positive,17.3922792,78.4602749,Active,7,2020-04-17 16:09:49,Male,2025-02-01,2025-05-02,Bridge Donor,eligible,123456,6123456795,123
Rania Chandra,B Positive,17.3922792,78.4602749,Inactive,1,2020-04-17 16:19:49,Female,2020-11-28,2021-03-28,Emergency Donor,not eligible,123456,6123456796,123
Kabir Jhaveri,A Positive,17.3922792,78.4602749,Active,,2020-04-17 17:02:31,Male,,,Emergency Donor,not eligible,123456,6123456797,123
Krish Dara,B Positive,17.3922792,78.4602749,Active,,2020-04-17 17:12:57,Female,,,Emergency Donor,eligible,123456,6123456798,123
Keya Madan,B Positive,17.3922792,78.4602749,Inactive,4,2020-04-18 13:08:56,Male,2024-07-10,2024-10-08,Bridge Donor,eligible,123456,6123456799,123
Ishita Mani,AB Positive,17.3922792,78.4602749,Active,,2020-04-18 15:17:09,Female,,,Emergency Donor,eligible,123456,6123456800,123
Rohan Tripathi,A Positive,17.3922792,78.4602749,Active,,2020-04-18 15:24:15,Male,,,Emergency Donor,not eligible,123456,6123456801,123
Vritika Dayal,O Positive,17.3922792,78.4602749,Active,5,2020-04-18 17:19:50,Male,2025-05-17,2025-08-15,Bridge Donor,eligible,123456,6123456802,123
Ela Kannan,O Positive,17.3922792,78.4602749,Active,,2020-04-18 22:47:36,Male,,,Emergency Donor,not eligible,123456,6123456803,123
Kabir Acharya,O Positive,17.3922792,78.4602749,Inactive,1,2020-04-20 15:11:52,Male,2024-07-10,2024-10-08,Emergency Donor,eligible,123456,6123456804,123
Jayant Wagle,O Positive,17.3922792,78.4602749,Active,6,2020-04-20 15:41:48,Male,2025-07-03,2025-10-01,Volunteer,not eligible,123456,6123456805,123
Elakshi Roy,O Positive,17.3922792,78.4602749,Active,6,2020-04-20 15:41:48,Male,2025-07-03,2025-10-01,Bridge Donor,not eligible,123456,6123456806,123
Divyansh Lad,O Positive,17.3922792,78.4602749,Inactive,1,2020-04-20 17:45:33,Male,2020-08-22,2026-01-01,Bridge Donor,not eligible,123456,6123456807,123
Tanya Dalal,O Positive,17.3877306,78.4764393,Active,,2020-04-21 14:19:13,Female,,,Emergency Donor,eligible,123456,6123456808,123
Anaya Sachdev,O Positive,17.3922792,78.4602749,Inactive,1,2020-04-21 14:24:12,Male,2024-05-16,2024-08-14,Emergency Donor,eligible,123456,6123456809,123
Mannat Agrawal,AB Positive,17.3922792,78.4602749,Active,,2020-04-22 16:51:30,Male,,,Emergency Donor,eligible,123456,6123456810,123
