name,blood_group,latitude,longitude,availability,donation_count,Gender,last_donated,next_eligible,role,eligibility_status,password,contact,password
Jivin Reddy,A Positive,17.3922792,78.4602749,Active,9,Male,2025-08-17,2025-11-15,Emergency Donor,not eligible,123456,6123456789,123
Anya Sibal,O Positive,17.3922792,78.4602749,Active,3,Male,2025-07-28,2025-10-26,Bridge Donor,not eligible,123456,6123456790,123
Onkar Varty,O Positive,17.3922792,78.4602749,Active,,Male,,,Bridge Donor,eligible,123456,6123456791,123
Shlok Kadakia,A Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,not eligible,123456,6123456792,123
Romil Bose,A Positive,17.3922792,78.4602749,Active,3,Male,2025-05-01,2025-07-30,Bridge Donor,eligible,123456,6123456793,123
Inaaya  Char,A Positive,17.3922792,78.4602749,Inactive,1,Male,2020-08-14,2020-11-12,Emergency Donor,not eligible,123456,6123456794,123
Shayak Chacko,O Positive,17.3922792,78.4602749,Active,7,Male,2025-02-01,2025-05-02,Bridge Donor,eligible,123456,6123456795,123
Rania Chandra,B Positive,17.3922792,78.4602749,Inactive,1,Female,2020-11-28,2021-03-28,Emergency Donor,not eligible,123456,6123456796,123
Kabir Jhaveri,A Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,not eligible,123456,6123456797,123
Krish Dara,B Positive,17.3922792,78.4602749,Active,,Female,,,Emergency Donor,eligible,123456,6123456798,123
Keya Madan,B Positive,17.3922792,78.4602749,Inactive,4,Male,2024-07-10,2024-10-08,Bridge Donor,eligible,123456,6123456799,123
Ishita Mani,AB Positive,17.3922792,78.4602749,Active,,Female,,,Emergency Donor,eligible,123456,6123456800,123
Rohan Tripathi,A Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,not eligible,123456,6123456801,123
Vritika Dayal,O Positive,17.3922792,78.4602749,Active,5,Male,2025-05-17,2025-08-15,Bridge Donor,eligible,123456,6123456802,123
Ela Kannan,O Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,not eligible,123456,6123456803,123
Kabir Acharya,O Positive,17.3922792,78.4602749,Inactive,1,Male,2024-07-10,2024-10-08,Emergency Donor,eligible,123456,6123456804,123
Jayant Wagle,O Positive,17.3922792,78.4602749,Active,6,Male,2025-07-03,2025-10-01,Volunteer,not eligible,123456,6123456805,123
Elakshi Roy,O Positive,17.3922792,78.4602749,Active,6,Male,2025-07-03,2025-10-01,Bridge Donor,not eligible,123456,6123456806,123
Divyansh Lad,O Positive,17.3922792,78.4602749,Inactive,1,Male,2020-08-22,2026-01-01,Bridge Donor,not eligible,123456,6123456807,123
Tanya Dalal,O Positive,17.3877306,78.4764393,Active,,Female,,,Emergency Donor,eligible,123456,6123456808,123
Anaya Sachdev,O Positive,17.3922792,78.4602749,Inactive,1,Male,2024-05-16,2024-08-14,Emergency Donor,eligible,123456,6123456809,123
Mannat Agrawal,AB Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,eligible,123456,6123456810,123
Shanaya Kibe,A Positive,17.3877306,78.4764393,Inactive,5,Male,2021-11-05,2022-02-03,Emergency Donor,not eligible,123456,6123456811,123
Shamik Gopal,O Positive,17.3877306,78.4764393,Active,7,Male,2025-03-22,2025-09-10,Bridge Donor,not eligible,123456,6123456812,123
Trisha Kade,B Positive,17.3922792,78.4602749,Active,5,Male,2025-04-22,2025-07-21,Emergency Donor,not eligible,123456,6123456813,123
Aarav Dass,B Positive,17.3922792,78.4602749,Active,6,Male,2025-02-16,2025-05-17,Bridge Donor,eligible,123456,6123456814,123
Yasmin Butala,B Positive,17.3922792,78.4602749,Active,,Female,,,Emergency Donor,not eligible,123456,6123456815,123
Vardaniya Varughese,A Positive,17.3922792,78.4602749,Inactive,1,Male,2020-04-01,2020-06-30,Emergency Donor,not eligible,123456,6123456816,123
Navya Varma,O Positive,17.3922792,78.4602749,Inactive,1,Male,2020-03-01,2020-05-30,Emergency Donor,not eligible,123456,6123456817,123
Ira Soni,AB Positive,17.3922792,78.4602749,Inactive,3,Male,2021-04-13,2021-07-12,Emergency Donor,eligible,123456,6123456818,123
Neelofar Sur,AB Positive,17.3922792,78.4602749,Active,10,Male,2025-01-09,2025-04-09,Bridge Donor,eligible,123456,6123456819,123
Elakshi Kumer,O Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,not eligible,123456,6123456820,123
Fateh Keer,O Positive,17.3922792,78.4602749,Active,,Male,,,Emergency Donor,eligible,123456,6123456821,123
Parinaaz Sodhi,O Negative,17.3922792,78.4602749,Inactive,4,Male,2024-07-21,2024-10-19,Emergency Donor,eligible,123456,6123456822,123
